,Municipio,CodIbge,Estado,Ano,Notificações de 1o Sintoma
500,Curionópolis,150277,PA,2008,57.0
501,Curralinho,150280,PA,2008,1.0
502,Curuá,150285,PA,2008,1.0
503,Curuçá,150290,PA,2008,7.0
504,Dom Eliseu,150293,PA,2008,171.0
505,Eldorado do Carajás,150295,PA,2008,90.0
506,Floresta do Araguaia,150304,PA,2008,104.0
507,Garrafão do Norte,150307,PA,2008,1.0
508,Goianésia do Pará,150309,PA,2008,80.0
509,Gurupá,150310,PA,2008,1.0
510,Igarapé-Açu,150320,PA,2008,29.0
511,Igarapé-Miri,150330,PA,2008,2.0
512,Inhangapi,150340,PA,2008,4.0
513,Ipixuna do Pará,150345,PA,2008,6.0
514,Irituia,150350,PA,2008,40.0
515,Itaituba,150360,PA,2008,306.0
516,Itupiranga,150370,PA,2008,20.0
517,Jacareacanga,150375,PA,2008,4.0
518,Jacundá,150380,PA,2008,164.0
519,Juruti,150390,PA,2008,216.0
520,Limoeiro do Ajuru,150400,PA,2008,9.0
521,Magalhães Barata,150410,PA,2008,24.0
522,Marabá,150420,PA,2008,611.0
523,Maracanã,150430,PA,2008,34.0
524,Marapanim,150440,PA,2008,17.0
525,Marituba,150442,PA,2008,223.0
526,Medicilândia,150445,PA,2008,6.0
527,Mocajuba,150460,PA,2008,10.0
528,Moju,150470,PA,2008,174.0
529,Mojuí dos Campos,0,PA,2008,
530,Monte Alegre,150480,PA,2008,18.0
531,Muaná,150490,PA,2008,5.0
532,Município ignorado - PA,0,PA,2008,
533,Mãe do Rio,150405,PA,2008,63.0
534,Nova Esperança do Piriá,150495,PA,2008,12.0
535,Nova Ipixuna,150497,PA,2008,37.0
536,Nova Timboteua,150500,PA,2008,2.0
537,Novo Progresso,150503,PA,2008,129.0
538,Novo Repartimento,150506,PA,2008,57.0
539,Oeiras do Pará,150520,PA,2008,3.0
540,Oriximiná,150530,PA,2008,697.0
541,Ourilândia do Norte,150543,PA,2008,265.0
542,Ourém,150540,PA,2008,92.0
543,Pacajá,150548,PA,2008,336.0
544,Palestina do Pará,150549,PA,2008,10.0
545,Paragominas,150550,PA,2008,87.0
546,Parauapebas,150553,PA,2008,1337.0
547,Pau D'Arco,150555,PA,2008,49.0
548,Peixe-Boi,0,PA,2008,
549,Piçarra,150563,PA,2008,17.0
550,Placas,150565,PA,2008,45.0
551,Ponta de Pedras,150570,PA,2008,14.0
552,Portel,150580,PA,2008,38.0
553,Porto de Moz,0,PA,2008,
554,Prainha,150600,PA,2008,3.0
555,Primavera,150610,PA,2008,29.0
556,Quatipuru,150611,PA,2008,118.0
557,Redenção,150613,PA,2008,483.0
558,Rio Maria,150616,PA,2008,408.0
559,Rondon do Pará,150618,PA,2008,239.0
560,Rurópolis,150619,PA,2008,365.0
561,Salinópolis,150620,PA,2008,52.0
562,Salvaterra,150630,PA,2008,1.0
563,Santa Bárbara do Pará,150635,PA,2008,9.0
564,Santa Izabel do Pará,150650,PA,2008,174.0
565,Santa Luzia do Pará,150655,PA,2008,22.0
566,Santa Maria das Barreiras,150658,PA,2008,144.0
567,Santa Maria do Pará,150660,PA,2008,22.0
568,Santana do Araguaia,150670,PA,2008,76.0
569,Santarém,150680,PA,2008,1023.0
570,Santarém Novo,150690,PA,2008,1.0
571,Santo Antônio do Tauá,150700,PA,2008,18.0
572,Sapucaia,150775,PA,2008,15.0
573,Senador José Porfírio,150780,PA,2008,1.0
574,Soure,150790,PA,2008,20.0
575,São Caetano de Odivelas,150710,PA,2008,1.0
576,São Domingos do Araguaia,150715,PA,2008,124.0
577,São Domingos do Capim,150720,PA,2008,4.0
578,São Francisco do Pará,150740,PA,2008,44.0
579,São Félix do Xingu,150730,PA,2008,200.0
580,São Geraldo do Araguaia,150745,PA,2008,344.0
581,São João da Ponta,150746,PA,2008,16.0
582,São João de Pirabas,150747,PA,2008,16.0
583,São João do Araguaia,150750,PA,2008,41.0
584,São Miguel do Guamá,150760,PA,2008,75.0
585,São Sebastião da Boa Vista,150770,PA,2008,3.0
586,Tailândia,150795,PA,2008,258.0
587,Terra Alta,150796,PA,2008,11.0
588,Terra Santa,150797,PA,2008,9.0
589,Tomé-Açu,150800,PA,2008,36.0
590,Tracuateua,150803,PA,2008,17.0
591,Trairão,150805,PA,2008,3.0
592,Tucumã,150808,PA,2008,211.0
593,Tucuruí,150810,PA,2008,314.0
594,Ulianópolis,150812,PA,2008,12.0
595,Uruará,150815,PA,2008,3.0
596,Vigia,150820,PA,2008,5.0
597,Viseu,150830,PA,2008,27.0
598,Vitória do Xingu,150835,PA,2008,2.0
599,Xinguara,150840,PA,2008,309.0
600,Água Azul do Norte,150034,PA,2008,65.0
601,Óbidos,150510,PA,2008,8.0
602,Alta Floresta D'Oeste,110001,RO,2008,32.0
603,Alto Alegre dos Parecis,110037,RO,2008,35.0
604,Alto Paraíso,110040,RO,2008,16.0
605,Alvorada D'Oeste,110034,RO,2008,44.0
606,Ariquemes,110002,RO,2008,196.0
607,Buritis,110045,RO,2008,21.0
608,Cabixi,110003,RO,2008,30.0
609,Cacaulândia,0,RO,2008,
610,Cacoal,110004,RO,2008,758.0
611,Campo Novo de Rondônia,110070,RO,2008,1.0
612,Candeias do Jamari,110080,RO,2008,30.0
