Municipio,CodIbge,Estado,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Icatu,210510,MA,2.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Igarapé do Meio,210515,MA,0.0,0.0,0.0,6.0,19.0,8.0,13.0,40.0,29.0,5.0,1.0,2.0
Igarapé Grande,210520,MA,2.0,1.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,9.0
Imperatriz,210530,MA,179.0,29.0,24.0,94.0,14.0,6.0,21.0,16.0,37.0,12.0,4.0,50.0
Itaipava do Grajaú,210535,MA,0.0,0.0,1.0,0.0,1.0,19.0,1.0,26.0,59.0,2.0,0.0,6.0
Itapecuru Mirim,210540,MA,3.0,0.0,0.0,6.0,4.0,33.0,29.0,92.0,101.0,59.0,0.0,6.0
Itinga do Maranhão,210542,MA,4.0,19.0,11.0,76.0,87.0,130.0,142.0,143.0,179.0,69.0,8.0,15.0
Jatobá,210545,MA,0.0,0.0,0.0,0.0,8.0,6.0,3.0,7.0,13.0,5.0,0.0,23.0
Jenipapo dos Vieiras,210547,MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,0.0,11.0
João Lisboa,210550,MA,31.0,48.0,18.0,30.0,13.0,35.0,22.0,15.0,20.0,8.0,2.0,9.0
Joselândia,210560,MA,2.0,12.0,8.0,11.0,18.0,7.0,26.0,15.0,109.0,13.0,1.0,15.0
Junco do Maranhão,210565,MA,2.0,1.0,1.0,1.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,1.0
Lago da Pedra,210570,MA,21.0,21.0,21.0,18.0,0.0,12.0,5.0,0.0,15.0,8.0,2.0,13.0
Lago do Junco,210580,MA,22.0,40.0,32.0,35.0,33.0,48.0,33.0,26.0,2.0,3.0,0.0,4.0
Lago dos Rodrigues,210594,MA,2.0,1.0,47.0,73.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0
Lago Verde,210590,MA,21.0,1.0,7.0,1.0,1.0,30.0,7.0,6.0,2.0,4.0,0.0,1.0
Lagoa do Mato,210592,MA,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0
Lagoa Grande do Maranhão,210596,MA,0.0,13.0,5.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0
Lajeado Novo,210598,MA,5.0,2.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0
Lima Campos,210600,MA,0.0,2.0,9.0,13.0,12.0,5.0,1.0,0.0,2.0,2.0,0.0,1.0
Loreto,210610,MA,0.0,18.0,5.0,18.0,9.0,0.0,0.0,1.0,0.0,51.0,1.0,1.0
Luís Domingues,210620,MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Magalhães de Almeida,210630,MA,22.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0
Maracaçumé,210632,MA,8.0,3.0,2.0,10.0,5.0,3.0,2.0,19.0,3.0,1.0,19.0,5.0
Marajá do Sena,210635,MA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Maranhãozinho,210637,MA,1.0,1.0,6.0,2.0,0.0,1.0,6.0,0.0,27.0,0.0,0.0,1.0
