Localidade	"Internações por doenças gastrointestinais infecciosas
(Número de internações) (DATASUS)"	"Internações por febre amarela
(Número de internações) (DATASUS)"	"Internações por dengue
(Número de internações) (DATASUS)"	"Internações por leptospirose
(Número de internações) (DATASUS)"	"Internações por malária
(Número de internações) (DATASUS)"	"Internações por esquistossomose
(Número de internações) (DATASUS)"	"Taxa de incidência de internações por doenças associadas à falta de saneamento
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças associadas à falta de saneamento
(Número de internações) (DATASUS)"
Pitimbu (Município) (251190)	50	0	5	0	0	0	32,31	55
Rio Tinto (Município) (251290)	252	0	1	0	0	0	110,11	253
Santa Rita (Município) (251370)	422	0	18	0	1	2	36,82	443
Sapé (Município) (251530)	181	0	2	0	0	0	36,50	183
Sousa (Município) (251620)	119	0	8	0	0	0	19,30	127
Abreu e Lima (Município) (260005)	29	0	33	0	0	0	6,57	62
Araçoiaba (Município) (260105)	24	0	9	0	0	0	18,18	33
Araripina (Município) (260110)	557	0	16	0	0	0	74,12	573
Arcoverde (Município) (260120)	152	0	54	0	0	0	29,94	206
Belo Jardim (Município) (260170)	132	0	38	3	0	0	23,88	173
Bezerros (Município) (260190)	19	0	17	1	1	0	6,48	38
Brejo da Madre de Deus (Município) (260260)	36	0	4	0	0	0	8,85	40
Buíque (Município) (260280)	247	0	5	0	0	0	48,36	252
Cabo de Santo Agostinho (Município) (260290)	85	0	68	11	0	4	9,08	168
Camaragibe (Município) (260345)	47	0	104	4	1	2	10,94	158
Carpina (Município) (260400)	101	0	34	1	0	1	18,30	137
Caruaru (Município) (260410)	222	0	54	4	1	1	8,95	282
Escada (Município) (260520)	146	0	13	0	0	2	25,35	161
Garanhuns (Município) (260600)	260	0	17	2	0	0	21,56	279
Goiana (Município) (260620)	73	0	44	0	0	0	15,47	117
Gravatá (Município) (260640)	137	0	35	2	0	3	23,15	177
Igarassu (Município) (260680)	36	0	30	0	0	0	6,47	66
Ipojuca (Município) (260720)	53	0	15	0	1	0	8,56	69
Ilha de Itamaracá (Município) (260760)	3	0	11	0	0	0	6,40	14
Itapissuma (Município) (260775)	6	0	10	0	0	0	6,73	16
Jaboatão dos Guararapes (Município) (260790)	966	0	363	14	0	2	20,87	1.345
Limoeiro (Município) (260890)	105	0	23	0	0	1	23,27	129
Moreno (Município) (260940)	178	0	85	2	0	0	46,74	265
Olinda (Município) (260960)	145	0	267	10	0	1	11,20	423
Ouricuri (Município) (260990)	556	0	135	0	1	0	107,52	692
Palmares (Município) (261000)	285	0	41	5	0	1	55,77	332
Paudalho (Município) (261060)	78	0	17	2	1	11	21,22	109
Paulista (Município) (261070)	84	0	164	6	0	1	8,49	255
Pesqueira (Município) (261090)	368	0	63	0	0	0	68,49	431
Petrolina (Município) (261110)	215	0	64	0	0	0	9,49	279
Recife (Município) (261160)	1.028	2	1.381	53	0	9	16,08	2.473
Salgueiro (Município) (261220)	527	0	150	0	0	0	119,55	677
Santa Cruz do Capibaribe (Município) (261250)	42	0	23	1	0	0	7,54	66
São Bento do Una (Município) (261300)	49	0	8	0	0	0	10,71	57
São Lourenço da Mata (Município) (261370)	51	0	39	0	0	0	8,75	90
Serra Talhada (Município) (261390)	721	0	278	0	0	0	126,09	999
Surubim (Município) (261450)	87	0	90	0	0	1	30,42	178
Timbaúba (Município) (261530)	45	0	5	1	0	6	10,59	57
Vitória de Santo Antão (Município) (261640)	584	0	110	7	0	1	54,01	702
Arapiraca (Município) (270030)	1.558	0	854	0	1	0	112,75	2.413
Barra de Santo Antônio (Município) (270050)	71	0	2	1	0	0	52,00	74
Barra de São Miguel (Município) (270060)	20	0	0	0	0	0	26,41	20
Campo Alegre (Município) (270140)	125	0	3	0	0	0	25,19	128
Coqueiro Seco (Município) (270220)	20	0	1	0	0	0	38,00	21
Coruripe (Município) (270230)	207	0	23	0	0	0	44,12	230
Delmiro Gouveia (Município) (270240)	344	0	34	0	1	0	78,80	379
Maceió (Município) (270430)	2.127	2	140	23	1	1	24,59	2.294
Marechal Deodoro (Município) (270470)	100	0	13	1	0	0	24,80	114
Messias (Município) (270520)	21	0	10	1	0	0	20,41	32
Palmeira dos Índios (Município) (270630)	182	0	168	0	0	1	49,88	351
Paripueira (Município) (270644)	16	0	1	0	0	0	14,98	17
Penedo (Município) (270670)	196	0	77	2	0	0	45,55	275
Pilar (Município) (270690)	313	0	113	1	0	1	128,51	428
Rio Largo (Município) (270770)	373	0	72	2	0	2	65,57	449
Santa Luzia do Norte (Município) (270790)	11	0	5	0	0	0	23,22	16
São Miguel dos Campos (Município) (270860)	179	0	4	0	0	0	33,53	183
Satuba (Município) (270890)	31	0	1	0	0	0	21,91	32
União dos Palmares (Município) (270930)	391	0	84	4	0	1	76,97	480
Aracaju (Município) (280030)	299	0	63	21	2	2	6,78	387
Barra dos Coqueiros (Município) (280060)	11	0	1	3	1	0	6,41	16
Estância (Município) (280210)	68	0	5	0	0	0	11,33	73
Itabaiana (Município) (280290)	125	0	8	0	0	0	15,29	133
Lagarto (Município) (280350)	260	0	13	0	0	0	28,78	273
Nossa Senhora do Socorro (Município) (280480)	74	0	9	8	0	0	5,66	91
São Cristóvão (Município) (280670)	27	0	1	3	0	0	3,93	31
Tobias Barreto (Município) (280740)	80	0	1	0	0	1	17,07	82
Alagoinhas (Município) (290070)	161	0	14	3	0	1	12,61	179
Araci (Município) (290210)	455	0	124	0	0	0	112,10	579
Barra (Município) (290270)	375	0	100	0	0	0	96,30	475
Barreiras (Município) (290320)	1.911	0	82	0	0	0	145,02	1.993
Bom Jesus da Lapa (Município) (290390)	54	0	4	0	1	0	9,29	59
Brumado (Município) (290460)	440	0	238	0	0	0	104,95	678
Caetité (Município) (290520)	252	0	27	0	0	0	58,72	279
Camaçari (Município) (290570)	75	0	33	3	0	1	4,61	112
Campo Formoso (Município) (290600)	411	0	22	1	0	0	65,15	434
Candeias (Município) (290650)	28	0	13	2	1	0	5,29	44
Casa Nova (Município) (290720)	485	0	5	0	0	0	75,45	490
Catu (Município) (290750)	67	0	67	0	0	0	26,23	134
Conceição do Coité (Município) (290840)	822	0	167	0	0	0	159,41	989
Cruz das Almas (Município) (290980)	72	0	5	0	0	0	13,14	77
Dias d'Ávila (Município) (291005)	54	0	3	0	0	0	8,58	57
Euclides da Cunha (Município) (291070)	573	0	19	0	0	0	105,17	592
Eunápolis (Município) (291072)	265	0	3	1	1	0	26,95	270
Feira de Santana (Município) (291080)	304	0	160	0	0	0	8,34	464
Guanambi (Município) (291170)	320	0	139	1	0	0	58,35	460
Ilhéus (Município) (291360)	1.129	0	394	9	0	0	83,15	1.532
Ipirá (Município) (291400)	99	0	66	1	0	0	27,97	166
Irecê (Município) (291460)	53	0	14	0	0	0	10,12	67
Itaberaba (Município) (291470)	219	0	14	0	0	0	37,81	233
Itabuna (Município) (291480)	1.054	0	48	9	0	0	54,28	1.111
Itamaraju (Município) (291560)	183	0	50	0	0	0	36,94	233
Itaparica (Município) (291610)	36	0	0	1	0	0	17,85	37
Itapetinga (Município) (291640)	384	0	24	0	0	0	59,76	408
Jacobina (Município) (291750)	1.074	0	200	0	0	5	161,39	1.279
Jaguaquara (Município) (291760)	370	0	97	0	0	0	91,55	467
Jequié (Município) (291800)	994	0	452	0	0	6	95,59	1.452
Juazeiro (Município) (291840)	1.663	0	80	1	0	2	88,20	1.746
Lauro de Freitas (Município) (291920)	34	0	38	6	0	0	4,77	78
Luís Eduardo Magalhães (Município) (291955)	23	0	0	0	0	0	3,83	23
Madre de Deus (Município) (291992)	8	0	14	0	0	0	12,66	22
Mata de São João (Município) (292100)	18	0	82	0	0	0	24,89	100
Paulo Afonso (Município) (292400)	125	0	9	0	1	0	12,45	135
Pojuca (Município) (292520)	28	0	1	0	0	0	8,77	29
Porto Seguro (Município) (292530)	61	0	32	0	0	0	7,33	93
Ribeira do Pombal (Município) (292660)	161	0	12	0	0	0	36,41	173
Salvador (Município) (292740)	915	1	812	112	4	2	6,90	1.846
Santo Amaro (Município) (292860)	79	0	6	2	0	0	15,05	87
Santo Antônio de Jesus (Município) (292870)	389	0	14	0	0	0	44,29	403
Santo Estêvão (Município) (292880)	163	0	5	1	0	1	35,51	170
São Francisco do Conde (Município) (292920)	2	0	2	0	0	0	1,21	4
São Sebastião do Passé (Município) (292950)	15	0	37	0	0	0	12,34	52
Senhor do Bonfim (Município) (293010)	208	0	18	0	0	1	30,50	227
Serrinha (Município) (293050)	404	0	248	0	0	0	84,94	652
Simões Filho (Município) (293070)	86	0	109	6	0	0	17,03	201
Teixeira de Freitas (Município) (293135)	160	0	235	0	0	0	28,55	395
Tucano (Município) (293190)	525	0	21	0	0	0	104,16	546
Valença (Município) (293290)	478	0	58	3	0	0	60,79	539
Vera Cruz (Município) (293320)	44	0	1	1	0	0	12,24	46
Vitória da Conquista (Município) (293330)	1.172	0	26	0	0	1	39,07	1.199
Alfenas (Município) (310160)	15	0	5	0	0	0	2,71	20
Araguari (Município) (310350)	228	0	80	0	0	0	28,05	308
Araxá (Município) (310400)	74	0	7	0	2	0	8,86	83
Baldim (Município) (310500)	0	0	0	0	0	0	0,00	0
Barão de Cocais (Município) (310540)	16	0	4	0	0	0	7,03	20
Barbacena (Município) (310560)	42	0	2	0	1	0	3,56	45
Belo Horizonte (Município) (310620)	1.031	0	941	12	2	9	8,40	1.995
Belo Vale (Município) (310640)	3	0	0	0	0	0	3,98	3
Betim (Município) (310670)	101	0	164	3	0	1	7,11	269
Bom Despacho (Município) (310740)	24	0	173	0	0	0	43,18	197
Bonfim (Município) (310810)	0	0	0	0	0	0	0,00	0
Brumadinho (Município) (310900)	17	0	2	0	0	0	5,59	19
Caeté (Município) (311000)	17	0	41	0	1	0	14,48	59
Campo Belo (Município) (311120)	0	0	9	0	0	0	1,75	9
Capim Branco (Município) (311250)	9	0	0	0	0	0	10,13	9
Caratinga (Município) (311340)	22	0	14	1	0	0	4,34	37
Cataguases (Município) (311530)	107	0	68	1	0	0	25,23	176
Confins (Município) (311787)	0	0	0	0	0	0	0,00	0
Congonhas (Município) (311800)	13	0	0	0	0	0	2,68	13
Conselheiro Lafaiete (Município) (311830)	306	0	0	0	0	1	26,35	307
Contagem (Município) (311860)	166	0	97	4	0	3	4,47	270
Coronel Fabriciano (Município) (311940)	132	0	81	0	0	0	20,54	213
Curvelo (Município) (312090)	52	0	31	1	0	0	11,32	84
Divinópolis (Município) (312230)	40	0	13	0	0	1	2,54	54
Esmeraldas (Município) (312410)	25	0	13	1	0	1	6,64	40
Florestal (Município) (312600)	5	0	1	0	0	0	9,09	6
Formiga (Município) (312610)	73	0	28	0	0	0	15,51	101
Fortuna de Minas (Município) (312640)	0	0	0	0	0	0	0,00	0
Frutal (Município) (312710)	31	0	13	0	0	0	8,23	44
Funilândia (Município) (312720)	1	0	0	0	0	0	2,59	1
Governador Valadares (Município) (312770)	156	0	67	0	0	4	8,61	227
Guaxupé (Município) (312870)	75	0	25	0	1	0	20,43	101
Ibirité (Município) (312980)	38	0	53	1	0	1	5,85	93
Igarapé (Município) (313010)	5	0	16	0	1	0	6,31	22
Inhaúma (Município) (313100)	0	0	0	0	0	0	0,00	0
Ipatinga (Município) (313130)	180	0	278	1	0	3	19,29	462
Itabira (Município) (313170)	45	0	14	0	1	0	5,47	60
Itabirito (Município) (313190)	42	0	24	0	0	0	14,52	66
Itaguara (Município) (313220)	44	0	2	0	0	0	37,18	46
Itajubá (Município) (313240)	25	0	0	1	0	0	2,87	26
Itatiaiuçu (Município) (313370)	5	0	1	0	0	0	6,04	6
Itaúna (Município) (313380)	93	0	22	1	0	0	13,57	116
Ituiutaba (Município) (313420)	193	0	17	0	3	0	21,92	213
Jaboticatubas (Município) (313460)	8	0	0	0	0	1	5,25	9
Janaúba (Município) (313510)	12	0	10	0	0	1	3,44	23
Januária (Município) (313520)	13	0	14	0	0	1	4,28	28
João Monlevade (Município) (313620)	27	0	8	0	0	0	4,75	35
Nova União (Município) (313660)	3	0	1	0	0	0	7,20	4
Juatuba (Município) (313665)	3	0	1	0	0	0	1,80	4
Juiz de Fora (Município) (313670)	213	0	195	0	0	0	7,90	408
Lagoa da Prata (Município) (313720)	74	0	91	0	1	2	36,53	168
Lagoa Santa (Município) (313760)	14	0	11	0	0	1	4,95	26
Lavras (Município) (313820)	72	0	22	0	0	0	10,20	94
Leopoldina (Município) (313840)	28	0	26	1	0	0	10,76	55
Manhuaçu (Município) (313940)	79	0	30	0	0	1	13,82	110
Mariana (Município) (314000)	63	0	0	0	0	0	11,62	63
Mário Campos (Município) (314015)	2	0	1	0	0	0	2,27	3
