 Morbidade Hospitalar do SUS - por local de residência - Maranhão
Óbitos por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"210598 Lajeado Novo";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;1;-;-;1;-;-;-;1;-;-;2;-;-;1;-;-;1;1;-;1;1;-;-;1;-;1;-;1;1;1;2;1;1;1;-;-;-;-;1;2;-;1;-;1;-;-;-;1;-;-;-;-;1;1;-;-;2;2;1;3;-;-;-;4;2;-;2;1;1;1;1;-;-;2;-;1;-;-;-;2;-;1;-;2;2;-;1;-;3;-;1;-;-;-;-;3;-;1;1;-;-;-;3;1;-;-;1;-;-;1;2;-;3;-;1;1;-;-;-;88
"210600 Lima Campos";-;-;-;-;-;1;2;-;-;1;2;-;2;3;-;-;1;-;-;-;-;1;1;1;-;-;-;1;-;-;1;1;1;-;-;-;-;1;1;-;1;-;3;1;2;-;1;-;2;1;-;1;-;1;2;1;1;-;-;1;1;-;1;-;2;-;1;2;-;1;-;1;1;2;2;1;-;3;7;2;1;2;-;3;1;-;-;-;3;1;1;1;1;3;2;1;2;1;2;-;3;1;1;-;2;-;-;1;-;2;-;1;2;2;-;1;1;2;2;3;4;-;-;4;3;1;3;3;3;6;2;2;2;6;4;5;3;1;4;5;2;3;4;2;2;2;3;2;3;2;1;2;1;1;9;7;5;1;2;3;1;2;3;1;240
"210610 Loreto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;1;-;-;2;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;1;-;-;2;2;-;-;1;1;-;1;1;1;-;1;-;1;-;2;-;2;-;1;2;-;-;1;-;1;1;-;-;1;2;-;1;-;-;-;-;-;-;2;1;1;1;1;-;-;1;1;2;1;-;-;2;-;-;1;2;-;-;59
"210620 Luís Domingues";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;-;-;-;-;-;1;-;-;1;-;1;-;2;1;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;2;-;-;1;-;1;-;-;1;-;-;1;1;-;1;-;-;2;1;-;-;41
"210630 Magalhães de Almeida";-;-;-;-;-;-;-;1;-;1;-;-;1;1;-;2;1;-;-;1;-;-;1;1;-;-;1;2;-;-;2;1;2;-;1;-;-;1;1;1;-;-;-;-;-;1;1;-;2;1;-;2;-;-;1;1;1;1;1;-;1;-;-;-;-;-;1;1;1;-;2;1;2;3;1;1;-;2;1;2;1;-;2;-;-;-;-;2;1;-;-;2;-;-;-;-;1;1;1;1;1;-;-;2;-;1;-;2;-;-;-;-;-;-;1;1;1;1;-;2;-;1;1;-;1;-;-;1;1;1;-;2;-;1;-;1;2;2;-;1;-;2;-;1;1;2;-;2;2;-;-;1;-;-;3;5;1;-;1;-;1;2;-;-;116
"210632 Maracaçumé";-;-;-;1;-;2;-;2;1;-;1;4;1;-;1;-;-;2;-;-;3;2;2;1;1;1;1;2;-;2;-;-;5;2;1;1;2;2;-;4;-;-;1;-;2;-;1;2;3;-;3;1;-;5;-;3;1;4;3;1;6;-;2;1;2;4;1;3;6;-;3;-;3;-;5;5;2;4;3;2;2;5;1;3;2;1;1;1;3;4;3;-;1;4;-;2;4;4;1;3;2;5;-;-;3;4;1;5;1;3;2;2;3;1;4;4;2;1;1;2;3;4;3;5;2;3;-;1;3;4;1;1;2;1;3;7;3;1;4;2;4;1;3;-;3;6;3;7;2;3;4;6;2;5;1;4;2;3;3;3;6;5;5;-;354
"210635 Marajá do Sena";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;1;-;-;-;2;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5;-;1;2;1;-;-;-;-;41
"210637 Maranhãozinho";-;-;-;-;-;-;-;1;1;1;-;1;-;-;1;1;1;-;-;-;-;-;1;-;1;-;1;-;1;-;-;-;-;1;1;1;1;2;1;-;1;1;-;-;-;-;-;4;1;2;1;2;3;-;2;1;-;2;1;-;1;-;-;1;3;-;3;2;1;3;-;-;1;-;1;2;1;-;2;1;-;2;-;-;-;1;-;1;1;1;2;-;-;1;1;1;6;-;1;6;-;1;-;-;-;1;3;6;1;3;2;1;2;-;-;3;-;-;-;4;4;1;1;-;1;-;1;3;2;1;-;-;-;1;1;-;1;1;3;2;2;1;3;2;1;3;3;-;-;1;1;2;1;1;5;4;4;3;1;2;2;-;3;-;180
"210640 Mata Roma";-;-;-;-;1;-;1;2;1;-;1;-;1;2;2;2;1;1;1;-;1;-;-;-;-;-;2;-;1;-;1;1;-;-;-;-;1;2;3;-;1;2;-;1;-;1;2;-;1;2;1;-;-;-;-;-;-;-;1;-;2;-;-;3;1;-;-;3;1;-;1;2;2;1;-;1;3;-;-;1;2;-;2;1;-;1;1;1;-;1;-;2;1;1;-;3;1;-;-;1;2;-;-;1;2;1;-;1;1;1;1;1;2;-;1;1;-;2;-;-;1;-;1;1;1;2;-;-;3;-;1;1;2;2;1;1;-;-;-;3;-;1;1;1;1;2;1;-;-;1;2;1;1;1;2;-;3;-;2;1;2;2;-;-;141
"210650 Matinha";-;-;-;-;-;1;1;-;1;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;1;-;-;1;1;-;2;-;-;1;2;-;-;-;-;-;1;2;-;-;-;-;3;-;-;2;-;1;1;3;3;1;-;1;3;1;-;-;-;2;1;2;1;1;2;-;3;1;1;-;1;3;-;1;-;-;-;-;3;1;2;-;1;1;1;-;1;2;3;1;-;1;1;1;2;-;-;1;1;-;1;1;2;-;-;5;1;2;2;2;2;4;1;1;3;-;1;3;2;-;1;2;3;1;-;1;3;1;3;5;2;1;3;1;-;2;3;2;1;2;-;2;1;-;2;-;3;2;-;3;4;3;2;2;4;2;-;4;1;1;184
"210660 Matões";-;-;-;-;1;-;-;2;2;2;4;-;1;-;-;2;3;2;2;2;2;1;3;2;-;4;-;4;2;3;5;2;-;2;2;1;4;1;1;-;3;2;5;-;4;1;1;1;2;2;2;1;3;2;1;2;2;2;-;1;5;3;2;4;-;1;2;2;-;5;1;3;7;6;5;2;7;2;-;1;3;2;3;4;3;-;-;1;1;1;-;4;4;2;2;6;6;1;5;1;5;2;6;6;3;4;1;4;5;2;1;2;2;1;-;5;8;5;6;6;6;2;6;2;2;6;4;4;7;2;6;5;6;4;4;4;5;3;7;4;1;7;6;4;5;3;1;2;1;5;3;2;6;4;6;3;11;5;5;7;4;4;2;2;468
"210663 Matões do Norte";-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;1;-;1;1;1;-;-;1;1;1;-;-;-;-;1;1;-;-;-;1;1;-;-;-;1;-;-;-;1;-;1;1;-;1;-;1;1;-;1;-;2;-;-;-;1;-;1;-;-;-;-;2;-;-;1;-;1;1;1;2;1;3;-;-;-;-;1;-;-;-;-;2;-;2;-;1;1;1;2;-;3;-;2;3;1;-;2;1;2;-;3;-;-;1;1;-;1;1;2;-;-;1;-;3;-;-;1;-;82
"210667 Milagres do Maranhão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;1;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;1;-;1;-;-;1;-;-;-;1;-;1;1;-;-;-;-;1;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;29
"210670 Mirador";-;-;-;-;-;-;1;-;2;-;2;-;1;-;1;-;1;-;1;-;-;-;-;-;-;1;1;1;-;1;-;-;-;-;-;1;-;-;1;-;-;2;-;-;-;-;1;-;1;1;-;-;1;2;1;3;3;-;1;4;1;1;4;-;4;1;3;2;2;3;2;-;3;1;-;1;1;1;-;-;1;-;2;2;-;2;1;-;-;1;1;-;1;2;1;1;1;-;2;1;3;1;-;-;-;-;2;2;1;1;1;1;1;-;3;3;2;2;2;5;3;4;2;7;2;5;4;2;4;3;2;-;4;1;1;1;3;4;1;2;1;2;6;-;1;3;3;4;1;5;1;2;2;2;1;2;4;2;4;2;1;2;1;-;221
"210675 Miranda do Norte";-;-;-;-;1;-;1;1;-;-;2;-;2;1;1;-;1;-;-;1;1;1;-;-;1;1;3;1;-;-;1;-;1;2;1;1;-;3;2;-;1;1;2;1;-;-;-;2;2;1;-;-;-;5;3;2;6;2;-;-;3;3;1;1;2;-;3;1;3;3;2;3;3;4;3;2;1;-;1;2;3;3;-;1;1;3;3;-;1;4;2;1;1;2;3;4;6;1;1;2;1;2;4;4;1;4;1;2;2;6;1;7;3;3;2;6;2;3;1;1;3;1;3;1;3;2;2;3;4;3;3;5;3;2;4;4;2;4;2;3;-;2;3;3;1;6;1;3;6;2;1;3;3;4;6;4;-;2;2;6;5;1;6;1;325
"210680 Mirinzal";-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;1;-;2;1;-;-;-;1;-;-;-;-;1;-;-;2;3;3;2;-;1;-;2;-;-;-;1;-;3;1;1;1;-;-;1;2;-;2;1;3;-;1;-;-;1;-;-;1;-;2;-;1;-;2;3;1;-;3;1;-;1;1;1;4;-;-;2;-;1;1;2;-;-;-;-;1;2;3;1;-;2;1;2;-;1;1;3;1;-;1;2;1;2;4;3;2;2;-;4;2;4;2;2;1;2;1;2;4;1;3;2;2;1;3;4;3;2;1;-;-;1;1;1;2;-;2;2;5;2;1;2;3;4;1;4;1;1;3;3;7;1;-;2;1;1;2;2;2;3;210
"210690 Monção";-;-;-;-;-;1;1;2;1;-;-;-;-;1;1;2;1;-;2;1;1;3;-;-;-;1;-;-;1;-;-;1;-;1;-;1;2;2;2;4;2;-;1;-;2;-;1;3;1;1;2;3;4;-;2;-;3;-;2;3;3;-;2;1;-;1;2;-;2;-;3;4;4;-;-;6;2;6;4;2;3;3;6;3;13;1;2;1;10;2;3;2;1;5;4;10;6;2;3;7;2;6;9;7;5;8;7;5;2;2;5;9;3;6;1;2;4;7;6;5;5;4;3;5;6;6;5;8;2;4;4;1;3;5;10;4;5;1;6;4;4;3;4;9;6;5;2;7;2;4;7;4;6;3;11;3;4;1;4;1;2;1;2;-;478
"210700 Montes Altos";-;-;-;-;1;-;2;1;-;-;-;1;-;2;-;-;-;-;2;-;3;-;2;1;-;-;-;-;-;2;1;-;-;-;1;1;-;-;2;1;1;1;-;1;3;1;2;1;-;1;1;-;1;1;2;2;-;3;-;2;1;1;-;1;1;-;-;2;-;-;-;2;2;-;1;1;1;2;2;1;-;-;-;1;-;-;-;-;2;-;1;-;1;2;1;3;2;2;-;2;-;1;1;-;2;-;1;2;3;3;3;1;-;-;-;-;-;-;1;1;2;2;3;5;3;-;2;-;1;-;2;1;1;1;2;1;1;1;3;1;1;2;2;3;4;1;-;2;2;1;1;1;2;1;4;3;3;3;2;5;-;2;2;2;181
"210710 Morros";-;-;-;-;-;1;-;-;-;-;-;-;4;1;-;-;-;-;-;-;-;3;-;1;-;-;-;-;-;1;2;-;-;2;2;3;2;-;-;-;-;3;1;-;-;-;1;1;-;1;2;1;-;1;1;-;1;2;1;2;1;1;-;1;1;2;1;1;3;1;-;-;-;-;3;1;2;3;-;3;-;-;2;-;1;1;-;1;1;2;1;1;-;2;3;1;3;1;1;-;2;1;2;-;3;-;1;1;2;3;-;1;-;2;1;-;1;1;3;2;2;-;3;-;2;2;1;-;1;1;2;-;1;2;4;2;6;2;1;-;1;2;-;3;4;-;1;2;-;2;2;1;1;4;2;7;3;2;4;4;2;-;2;-;192
"210720 Nina Rodrigues";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;1;-;1;1;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;-;-;-;1;-;-;-;-;2;-;-;-;2;-;-;-;-;1;2;1;2;3;1;1;1;-;-;-;1;-;2;3;-;-;-;-;1;2;-;-;1;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;1;1;2;1;1;1;2;-;-;1;-;2;2;3;1;1;4;2;-;-;1;-;-;1;1;2;1;3;3;-;1;-;1;1;-;1;-;2;1;1;3;5;-;1;-;3;1;-;-;2;1;1;2;1;1;1;1;2;-;-;-;114
"210725 Nova Colinas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;2;2;2;-;-;-;1;-;-;3;-;1;-;-;1;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;2;-;-;-;2;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;1;1;38
"210730 Nova Iorque";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;1;-;2;1;2;-;1;2;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;1;-;-;-;3;-;1;-;-;-;1;2;-;-;-;1;1;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;1;1;-;-;41
"210735 Nova Olinda do Maranhão";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;1;1;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;1;-;-;-;1;1;-;1;1;1;1;-;-;1;2;-;-;-;2;-;-;-;-;2;2;1;1;-;1;-;1;-;-;-;1;1;1;-;-;-;2;1;1;1;1;1;2;-;-;1;1;2;1;-;1;-;-;-;1;1;1;1;-;-;-;3;-;1;2;4;3;1;2;2;2;-;-;1;2;-;1;1;4;2;-;3;1;2;2;-;1;5;-;5;1;1;3;-;3;1;-;3;-;-;2;-;3;-;2;1;4;-;1;2;3;2;1;-;2;2;-;1;4;4;2;3;2;1;1;155
"210740 Olho d'Água das Cunhãs";-;-;-;-;-;2;-;1;-;2;3;1;1;-;1;-;2;-;2;3;1;1;2;-;2;-;1;-;-;1;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;1;1;1;2;1;2;2;2;1;1;1;1;-;-;1;2;4;1;1;-;1;-;1;1;2;1;3;-;1;-;2;-;-;1;3;-;-;-;2;-;-;-;-;1;1;1;-;2;1;4;-;1;1;-;1;1;-;2;2;1;1;-;1;3;-;1;-;-;-;-;2;1;2;1;1;1;3;1;1;1;2;1;2;-;1;2;1;1;1;2;2;-;2;4;1;1;1;1;2;3;-;2;1;-;3;2;4;3;6;3;1;4;2;6;1;2;183
"210745 Olinda Nova do Maranhão";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;1;1;-;2;-;1;-;2;-;-;-;-;1;-;2;-;2;2;1;-;3;-;1;-;-;-;-;-;-;-;-;-;2;-;1;2;-;-;-;1;1;1;1;1;1;1;1;-;-;2;-;-;-;-;1;2;-;1;1;2;-;1;1;-;-;-;1;-;-;-;1;-;1;2;-;-;-;1;1;1;-;-;-;-;-;-;-;3;-;3;-;-;1;1;1;2;4;1;-;1;3;1;-;-;-;1;3;1;1;1;3;1;2;-;-;1;1;1;1;-;99
"210750 Paço do Lumiar";-;-;-;-;3;4;6;5;3;1;4;11;6;3;2;7;3;4;3;5;4;2;8;7;9;5;3;6;7;4;3;8;8;5;12;7;1;9;10;3;11;10;8;10;14;9;8;9;10;11;7;9;6;8;5;12;10;12;13;10;12;14;7;18;9;15;12;7;15;19;13;18;9;12;11;22;13;10;17;15;15;11;22;20;13;16;12;13;23;18;14;14;21;23;17;13;16;13;16;11;14;15;22;19;20;14;27;20;26;13;20;15;10;13;15;19;21;18;20;15;16;20;15;21;12;24;13;18;11;19;27;12;16;19;16;21;12;18;18;21;26;13;20;18;18;22;18;26;20;29;26;32;43;43;57;24;20;22;15;27;26;19;17;11;2269
"210760 Palmeirândia";-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;2;1;1;-;-;1;1;1;-;-;2;1;3;1;1;1;-;1;-;1;1;3;-;2;1;-;1;1;1;-;1;1;1;-;-;1;-;1;2;1;-;-;1;-;2;-;1;1;1;1;1;2;-;-;1;3;-;3;1;-;2;2;-;2;1;3;3;-;2;1;-;2;2;2;1;2;1;2;4;1;2;3;2;1;-;2;-;4;-;-;2;5;-;4;-;2;2;1;2;-;3;2;2;-;1;1;1;-;2;-;3;-;-;2;2;1;1;2;3;2;1;2;-;1;3;3;2;1;3;-;6;2;1;2;3;1;1;1;1;4;2;4;1;-;5;2;-;-;3;205
"210770 Paraibano";-;-;-;-;2;2;-;-;-;1;2;1;1;2;1;-;-;1;1;-;-;-;3;1;-;1;-;1;1;-;-;2;-;-;2;-;-;-;1;-;-;2;-;1;2;2;1;1;1;-;1;2;2;-;1;1;1;1;1;1;1;-;1;1;2;1;2;2;4;-;2;4;2;2;1;4;-;4;4;2;2;1;2;1;2;3;2;-;1;1;-;-;4;2;2;3;2;3;-;-;1;3;1;1;1;2;4;1;1;2;1;1;4;1;2;4;1;-;1;5;1;2;1;1;4;1;1;1;-;3;6;1;1;3;1;1;1;1;3;1;2;2;2;1;3;1;3;1;3;-;6;5;3;2;1;2;1;5;2;1;1;3;1;2;241
"210780 Parnarama";-;-;2;1;3;2;1;3;3;1;1;-;5;4;-;3;3;4;3;2;2;2;1;1;2;1;3;2;2;2;1;3;-;2;3;2;-;1;1;1;-;2;2;1;2;1;2;2;3;2;3;1;1;-;1;4;5;1;1;1;1;2;2;2;4;2;1;6;2;2;6;2;3;5;3;3;-;2;-;3;2;3;2;2;3;-;2;3;2;-;3;2;3;-;2;2;2;3;1;3;2;5;1;2;6;5;2;5;2;5;3;5;2;5;4;2;5;4;3;4;4;-;6;2;4;3;5;1;3;4;3;6;5;4;2;2;1;2;3;3;2;1;5;5;3;4;2;10;5;5;6;4;5;4;5;2;3;3;9;1;5;5;3;1;432
"210790 Passagem Franca";-;-;-;-;-;-;2;-;-;-;2;2;1;3;-;1;2;3;2;1;-;1;3;1;1;2;2;3;2;-;3;-;2;5;-;-;3;2;-;2;2;1;1;-;-;1;1;1;1;3;-;2;-;3;1;2;1;2;2;2;-;-;3;1;-;1;-;-;1;5;1;1;-;-;4;4;1;-;-;3;2;2;2;3;1;3;2;-;2;3;3;2;1;3;3;3;2;2;2;6;2;1;-;2;5;2;1;1;2;2;-;1;2;2;2;7;2;1;2;3;3;1;-;2;1;2;1;4;-;4;2;1;2;1;2;1;2;4;-;-;2;3;-;2;3;1;2;1;2;1;5;1;1;2;2;1;1;5;2;5;1;1;2;2;270
"210800 Pastos Bons";-;-;-;-;1;-;-;1;1;2;-;2;-;2;2;-;2;1;3;1;1;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;2;1;1;1;-;1;1;1;1;2;-;2;1;3;-;1;1;-;1;1;1;1;-;1;1;1;-;2;1;4;-;3;1;2;1;-;1;-;3;-;1;1;-;-;1;-;1;-;2;1;2;2;-;-;1;-;2;1;1;-;1;1;-;3;-;-;2;1;1;5;3;1;2;1;1;-;2;1;1;-;3;-;4;2;-;-;1;2;1;2;1;1;1;2;2;2;1;1;-;2;-;1;1;-;1;1;-;1;2;-;4;2;2;3;3;-;160
"210805 Paulino Neves";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;-;2;1;-;-;1;1;1;1;-;1;-;-;2;1;1;-;-;2;-;-;-;1;-;-;1;-;-;2;-;-;2;2;-;1;-;1;1;-;2;3;-;1;-;2;-;-;1;-;-;-;1;1;-;-;-;1;-;-;1;1;1;3;1;2;1;2;-;-;-;-;1;-;1;-;3;-;2;1;-;1;-;-;1;-;1;-;-;-;-;1;2;-;2;1;-;3;1;1;-;1;1;1;1;3;3;4;-;3;1;1;2;4;1;-;3;2;1;2;-;1;1;2;-;3;2;-;1;1;2;4;1;1;1;1;1;-;1;3;2;1;1;-;-;139
"210810 Paulo Ramos";-;-;-;-;-;1;2;1;-;-;1;1;-;-;-;-;1;1;3;2;2;-;-;2;-;-;1;1;-;2;-;1;-;-;2;1;3;1;-;1;1;1;-;-;1;-;1;1;-;1;2;1;-;-;1;4;2;1;1;1;1;-;2;-;1;3;-;-;2;3;2;-;3;1;-;-;1;1;2;1;-;2;2;-;-;1;-;1;1;2;1;2;-;2;3;1;2;-;-;-;2;3;-;-;-;1;1;2;5;-;2;-;1;-;2;1;1;4;3;1;-;-;3;1;1;1;1;4;3;1;1;-;2;2;1;-;3;1;-;3;-;-;2;1;2;1;3;2;3;1;2;1;2;1;1;6;5;9;4;2;4;3;2;1;207
"210820 Pedreiras";-;-;-;-;-;2;3;2;1;2;1;3;9;3;8;10;6;2;4;2;5;5;4;2;4;3;6;1;5;2;5;2;1;6;2;1;3;2;3;3;3;6;4;5;4;4;6;4;4;2;2;7;5;5;2;7;4;6;7;10;3;9;10;11;6;9;9;7;3;5;9;4;10;4;7;9;9;9;4;9;10;12;6;8;5;5;11;6;11;3;5;3;6;9;7;6;5;8;8;12;5;7;7;7;8;6;6;3;5;4;4;3;4;4;4;5;11;10;8;3;3;7;8;2;9;8;10;4;7;11;3;11;9;10;7;7;7;10;9;8;7;14;10;11;8;8;10;7;4;7;11;5;15;6;34;18;10;8;9;9;8;8;8;3;1014
"210825 Pedro do Rosário";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2;-;1;2;-;-;-;-;-;-;1;2;1;2;-;1;-;-;-;-;1;-;2;-;1;1;1;-;-;-;-;-;-;-;-;2;1;-;-;2;1;-;-;-;1;-;-;1;2;1;2;-;2;2;-;-;1;-;2;1;-;-;1;1;1;1;2;1;-;-;-;1;-;2;1;1;2;2;-;4;2;1;-;-;-;2;-;3;1;1;2;2;2;2;2;2;2;3;2;1;4;1;1;1;4;-;2;1;3;1;4;2;1;-;-;2;-;1;2;2;2;3;2;1;3;1;1;1;2;1;1;1;1;3;-;2;-;1;2;2;2;1;1;-;-;-;-;157
"210830 Penalva";-;-;-;-;1;-;1;3;1;-;3;-;-;1;-;-;-;2;1;-;2;1;2;1;4;1;3;-;1;-;1;2;-;-;-;2;1;-;1;1;1;1;1;-;2;1;1;-;-;2;1;-;2;1;2;-;3;-;1;2;3;2;1;1;2;3;-;1;-;1;3;4;2;-;-;1;1;1;4;1;1;3;2;2;3;-;3;1;2;-;2;4;3;4;-;4;-;5;1;1;1;6;4;1;7;5;2;-;3;3;4;-;3;4;2;4;1;6;1;3;3;1;1;4;1;1;4;2;3;1;-;5;-;4;1;2;3;1;1;2;3;2;-;1;2;3;1;3;2;2;3;2;3;1;5;1;2;4;-;3;1;-;1;-;274
