DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2017
"Município infecção";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"170600 Couto Magalhães";-;1;-;-;1;-;1;-;-;-;-;-;-;3
"170610 Cristalândia";-;1;-;1;-;-;-;-;-;-;-;-;-;2
"170625 Crixás do Tocantins";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"170650 Darcinópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"170700 Dianópolis";-;13;16;4;-;18;3;-;2;-;-;-;-;56
"170710 Divinópolis do Tocantins";-;6;1;1;-;-;-;1;-;1;1;1;2;14
"170720 Dois Irmãos do Tocantins";-;-;-;-;-;1;3;-;-;-;2;-;-;6
"170730 Dueré";-;4;2;2;1;-;-;-;-;-;1;-;-;10
"170740 Esperantina";-;11;5;-;-;-;-;-;-;-;-;-;-;16
"170820 Formoso do Araguaia";-;-;1;-;4;-;-;-;-;-;-;-;1;6
"170825 Fortaleza do Tabocão";-;-;1;-;-;-;-;-;-;-;1;1;-;3
"170900 Goiatins";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"170930 Guaraí";-;1;-;1;-;-;1;-;-;-;-;1;1;5
"170950 Gurupi";-;11;12;21;27;8;4;1;3;2;-;3;2;94
"171070 Itaguatins";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"171110 Itaporã do Tocantins";-;1;1;-;-;-;-;-;-;-;-;-;-;2
"171150 Jaú do Tocantins";-;-;1;-;-;1;-;-;-;-;-;-;-;2
"171190 Lagoa da Confusão";-;3;-;-;-;-;-;-;-;-;-;1;-;4
"171200 Lajeado";-;2;-;3;1;1;-;1;-;-;-;-;-;8
"171215 Lavandeira";-;-;1;3;1;1;-;-;-;-;-;-;-;6
"171240 Lizarda";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"171270 Mateiros";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"171320 Miracema do Tocantins";-;1;2;1;1;3;-;-;-;-;-;-;4;12
"171330 Miranorte";-;-;3;3;12;11;2;1;1;-;-;-;-;33
"171395 Muricilândia";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"171420 Natividade";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"171430 Nazaré";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"171488 Nova Olinda";-;-;4;21;10;8;-;-;-;1;3;-;2;49
"171510 Novo Acordo";-;-;1;2;1;-;-;-;-;1;-;-;1;6
"171515 Novo Alegre";-;1;1;1;5;4;5;-;-;-;-;-;-;17
"171525 Novo Jardim";-;-;1;1;-;-;-;-;-;-;-;-;-;2
