DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Sorotipo                     
Período:2014
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 3";"DEN 4";"Total"
"170555 Combinado";5;-;-;-;-;5
"170560 Conceição do Tocantins";1;-;-;-;-;1
"170610 Cristalândia";1;-;-;-;-;1
"170650 Darcinópolis";1;-;-;-;-;1
"170700 Dianópolis";9;-;-;-;-;9
"170710 Divinópolis do Tocantins";23;-;-;-;-;23
"170720 Dois Irmãos do Tocantins";4;3;-;-;-;7
"170755 Fátima";1;-;-;-;-;1
"170820 Formoso do Araguaia";152;-;-;-;-;152
"170825 Fortaleza do Tabocão";1;-;-;-;-;1
"170830 Goianorte";2;-;-;-;-;2
"170900 Goiatins";13;-;-;-;-;13
"170930 Guaraí";28;-;-;-;-;28
"170950 Gurupi";29;-;-;-;-;29
"171050 Itacajá";13;-;-;-;-;13
"171070 Itaguatins";6;-;-;-;-;6
"171110 Itaporã do Tocantins";2;-;-;-;-;2
"171190 Lagoa da Confusão";1;-;-;-;-;1
"171280 Maurilândia do Tocantins";5;-;-;-;-;5
"171320 Miracema do Tocantins";46;-;-;-;-;46
"171330 Miranorte";75;-;-;-;-;75
"171395 Muricilândia";5;-;-;-;-;5
